"","YEAR","port_per_trip","region","nation","reserve","fished","total_effort","displacement","dataset"
"249",NA,"RIMINI",NA,NA,0,496.016666666667,496.016666666667,0,"AIS_before"
"250",NA,"ROGOZNICA",NA,"HRV",609.166666666667,5528.33333333333,6137.5,9.925,"AIS_before"
"251",NA,"ROGOZNICA",NA,NA,68.0833333333333,1480.05,1548.13333333333,4.398,"AIS_before"
"252",NA,"ROVINJ",NA,"HRV",0,366.95,366.95,0,"AIS_before"
"253",NA,"ROVINJ",NA,NA,0,2.73333333333333,2.73333333333333,0,"AIS_before"
"254",NA,"SAN BENEDETTO DEL TRONTO","marche","ITA",3379.15,11171.2833333333,14550.4333333333,23.224,"AIS_before"
"255",NA,"SAN BENEDETTO DEL TRONTO",NA,NA,27.9,356.333333333333,384.233333333333,7.261,"AIS_before"
"256",NA,"SANTA MARINA",NA,"HRV",0,829.483333333333,829.483333333333,0,"AIS_before"
"257",NA,"SANTA MARINA",NA,NA,0,206.266666666667,206.266666666667,0,"AIS_before"
"258",NA,"SAVUDRIJA",NA,"HRV",0,2.5,2.5,0,"AIS_before"
"259",NA,"SCARDOVARI","veneto","ITA",0,317.35,317.35,0,"AIS_before"
"260",NA,"SCARDOVARI",NA,NA,0,174.433333333333,174.433333333333,0,"AIS_before"
"261",NA,"SENIGALLIA","marche","ITA",0,1066.73333333333,1066.73333333333,0,"AIS_before"
"262",NA,"SIBENIK",NA,"HRV",127.366666666667,935.966666666667,1063.33333333333,11.978,"AIS_before"
"263",NA,"SIBENIK",NA,NA,3.4,62.2666666666667,65.6666666666667,5.178,"AIS_before"
"264",NA,"SLANO",NA,"HRV",0,6.45,6.45,0,"AIS_before"
"265",NA,"SOLIN",NA,"HRV",12.3333333333333,750.866666666667,763.2,1.616,"AIS_before"
"266",NA,"SOLIN",NA,NA,0,160.55,160.55,0,"AIS_before"
"267",NA,"SPLIT",NA,"HRV",23.8,228.1,251.9,9.448,"AIS_before"
"268",NA,"SPLIT",NA,NA,0,66.4,66.4,0,"AIS_before"
"269",NA,"TERMOLI","molise","ITA",78.6666666666667,31864.0166666667,31942.6833333333,0.246,"AIS_before"
"270",NA,"TERMOLI",NA,NA,20.7833333333333,2922.45,2943.23333333333,0.706,"AIS_before"
"271",NA,"TRANI","puglia","ITA",0,341.266666666667,341.266666666667,0,"AIS_before"
"272",NA,"TRANI",NA,NA,0,43.8833333333333,43.8833333333333,0,"AIS_before"
"273",NA,"TRIBUNJ",NA,"HRV",1266.16666666667,7314.8,8580.96666666667,14.756,"AIS_before"
"274",NA,"TRIBUNJ",NA,NA,37.5,391.883333333333,429.383333333333,8.733,"AIS_before"
"275",NA,"TRIESTE","friuli","ITA",0,570.766666666667,570.766666666667,0,"AIS_before"
"276",NA,"TROGIR",NA,"HRV",0,4.38333333333333,4.38333333333333,0,"AIS_before"
"277",NA,"TROGIR",NA,NA,0,250.833333333333,250.833333333333,0,"AIS_before"
"278",NA,"UMAG",NA,"HRV",0,834.083333333333,834.083333333333,0,"AIS_before"
"279",NA,"UVALA KUJE",NA,"HRV",0,284.433333333333,284.433333333333,0,"AIS_before"
"280",NA,"UVALA KUJE",NA,NA,0,30,30,0,"AIS_before"
"281",NA,"VASTO","abruzzo","ITA",453.133333333333,9993.86666666667,10447,4.337,"AIS_before"
